Number_of_particle Mass(MeV) Beam_energy(MeV) Beam_Frequency(MHz) Beam_current(A) Beam_Charge
10 938.272 18.7942 176.1 0 1
x(mm) x'(mrad) y(mm) y'(mrad) z(mm) z'(mrad) Phase(deg) Time(s) Energy(MeV) Loss
2.45375352096743881702e-01	1.26861018216004595160e+00	1.91235184320248663425e-01	3.89543327037245035172e-01	2.82890685891291515652e-01	-9.84611845563551968397e-01	-3.03342482258691925612e-01	-4.79638560172825637030e-12	1.87560407638550188381e+01	0
6.36585548636503517628e-01	4.36041735520120710135e-01	-7.49155008816160261631e-01	-1.06790598365478217602e+00	2.12742230953790878445e+00	-5.81000157620212620557e-01	-2.28123437445343979491e+00	-3.60121555879707943905e-11	1.87716695785522844631e+01	0
1.64185047906357795000e+00	-2.25111799954902380705e-01	-2.23388814192730933428e+00	4.18079545488581061363e-01	-3.39996203681311870426e+00	-4.32201527513018435300e-01	3.64578164536772719728e+00	5.75282732869123248020e-11	1.87774316787720110256e+01	0
-1.90411528747063130140e+00	-9.60201375710312277079e-01	-3.98228529957123100758e-01	-1.16790232132188975811e+00	4.99957705439558641736e-01	9.12094273150512391268e-01	-5.36103537489786230452e-01	-8.45418666029908730243e-12	1.88294946670532610256e+01	0
-2.11630153644364327192e+00	-1.08791428065160289407e+00	-7.58255543769337236881e-01	1.96222337544895708561e+00	-2.79336470587620122608e-01	-6.72960578452250546277e-01	2.99533853123769622240e-01	4.72171338085778655179e-12	1.87681085586548235256e+01	0
2.15283364814240485430e+00	1.32601178338518366218e+00	-2.90730447159148752689e-01	6.47641770774498581886e-01	1.64120941056080749121e+00	8.63146112312176638781e-01	-1.75986801665009506834e+00	-2.77420348885989642486e-11	1.88275987625122454006e+01	0
-1.14836960274260491133e+00	-6.93939627672079950571e-01	1.50965049106162041426e+00	-1.28179317689500749111e+00	-6.23610919749805314716e-01	-7.61573011043867653669e-01	6.68699452469930566423e-01	1.05498339191171047470e-11	1.87646772384643938381e+01	0
-4.96855794335715528209e-01	-7.81785290746483951807e-01	-6.77308652666397392750e-01	8.63500573905184864998e-01	2.22934951173283790737e+00	1.18410920818577092284e+00	-2.39053093474091538084e+00	-3.76694063135104772800e-11	1.88400308609009172756e+01	0
1.85655723616946488619e+00	-5.04050172457937151194e-01	2.71872256125789135695e+00	-5.28652284992858767509e-01	-5.15623048589074595149e-01	7.11556994764463712766e-02	5.52904018948659814470e-01	8.71519644245619948274e-12	1.87969247817993547756e+01	0
-8.52467466029338538647e-01	1.22085650073131546378e+00	6.84981522499583661556e-01	-2.16629216447472572327e-01	-2.40257469838342929691e+00	6.72667944815555030047e-01	2.57628286797820083009e+00	4.06063580289842474212e-11	1.88202211380005266506e+01	0
