Entry,Type,Description,Allowed values,Mandatory?
flag_cython,``bool``,If we should use the Cython implementation (faster).,,❌
flag_phi_abs,``bool``,If the field maps phases should be absolute (no implicit rephasing after a failure).,,❌
method,``str``,Integration method.,"('RK4', 'leapfrog')",❌
n_steps_per_cell,``int``,Number of integrating steps per cavity cell. Recommended values are 40 for RK4 and 20 for leapfrog.,,❌
tool,``str``,Name of the tool.,"('Envelope1D', 'envelope1d', 'Envelope_1D', 'envelope_1d')",✅
