Entry,Type,Description,Allowed values,Mandatory?
flag_cython,``bool``,Not implemented yet. If we should use the Cython implementation (faster).,"(False,)",❌
flag_phi_abs,``bool``,If the field maps phases should be absolute (no implicit rephasing after a failure).,,❌
method,``str``,Integration method.,"('RK4',)",❌
n_steps_per_cell,``int``,Number of integrating steps per cavity cell. Recommended value is 40.,,❌
tool,``str``,Name of the tool.,"('Envelope3D', 'envelope3d', 'Envelope_3D', 'envelope_3d')",✅
