 mc2(MeV) freq(MHz) Z I(mA) npart
    938.272029 0.1761000E+03   1. 0.00000E+00         10
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX  SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99  ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax  ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
   11     3.2400000 0.1828120E-01 -.8030093E-03 -.3575785E-04 0.6109880E-01 0.6568294E-03 -.4862577E-04 -.1204835E-02 0.2280149E+01 0.1719222E+01 0.1549520E+01 -.7299086E+01 0.4920709E+01 0.0000000E+00 0.2394537E+00 0.2420149E+00 0.5405132E-01 -.4679384E-01 0.4035743E+00 -.4168341E-01         10 0.1140486E-01 0.3197166E-01 0.4090415E-01 0.8419815E+00 0.1072536E+01 0.9760535E+00 -.9376336E-07 -.7535661E-10 0.0000000E+00 0.1000000E+03 0.5794345E-01 0.1077085E+01 0.3770588E+00 0.0000000E+00 0.3848638E+01 0.3594904E+01 0.2724184E+00 0.1382234E+01 -.2108442E-01 -.4265254E+02 -.7872660E+01 0.6141641E+02 -.2042031E+02 0.1576789E-01 -.4307288E-01 0.9831634E-01
   12     3.3900000 0.1828120E-01 -.7044849E-03 -.4305171E-04 0.6872263E-01 0.6568294E-03 -.4862577E-04 -.1204835E-02 0.1801844E+01 0.2151358E+01 0.1554923E+01 -.5717152E+01 0.6230075E+01 0.0000000E+00 0.2394537E+00 0.2420149E+00 0.5401633E-01 -.4679384E-01 0.4035743E+00 -.4103393E-01         10 0.1715491E-01 0.1928678E-01 0.4096508E-01 0.8419815E+00 0.1072536E+01 0.9778676E+00 -.9336765E-07 -.7535661E-10 0.0000000E+00 0.1000000E+03 0.5794345E-01 0.1175944E+01 0.4436431E+00 0.0000000E+00 0.2984443E+01 0.4519424E+01 0.2722420E+00 0.1387054E+01 0.1307744E+00 -.3344008E+02 -.1093571E+02 0.6141641E+02 -.2042031E+02 0.1575784E-01 -.4407271E-01 0.9831634E-01
   13     3.5900000 0.1828120E-01 -.6809058E-03 -.4759639E-04 0.7760969E-01 -.4165985E-03 0.3850566E-05 -.1204835E-02 0.1447161E+01 0.2353438E+01 0.1590136E+01 -.6701684E+00 -.2194865E+01 0.0000000E+00 0.2396513E+00 0.2418957E+00 0.5399652E-01 -.4625780E-01 0.4018201E+00 -.4072872E-01         10 0.2947937E-01 0.1307879E-01 0.3949142E-01 0.8412452E+00 0.1071749E+01 0.9809935E+00 -.9287749E-07 -.7535661E-10 0.0000000E+00 0.1000000E+03 0.5796202E-01 0.3616497E+00 0.1358323E+00 0.0000000E+00 0.2277868E+01 0.4953247E+01 0.2721422E+00 0.1418465E+01 0.3337181E+00 -.2613208E+02 -.1284556E+02 0.1365098E+02 0.1875145E+01 0.1575715E-01 -.4052789E-01 0.3401627E-02
   14     3.7400000 0.1828120E-01 -.7433955E-03 -.4701880E-04 0.8379115E-01 -.4165985E-03 0.3850566E-05 -.1204835E-02 0.1383754E+01 0.2214999E+01 0.1636247E+01 -.5265117E+00 -.2021449E+01 0.0000000E+00 0.2396513E+00 0.2418957E+00 0.5399299E-01 -.4625780E-01 0.4018201E+00 -.4069910E-01         10 0.3575745E-01 0.1383327E-01 0.3789569E-01 0.8412452E+00 0.1071749E+01 0.9835720E+00 -.9250376E-07 -.7535661E-10 0.0000000E+00 0.1000000E+03 0.5796202E-01 0.3658318E+00 0.1512411E+00 0.0000000E+00 0.2052959E+01 0.4661307E+01 0.2721244E+00 0.1459598E+01 0.4860912E+00 -.2408443E+02 -.1256429E+02 0.1365098E+02 0.1875145E+01 0.1575615E-01 -.3729232E-01 0.3401627E-02
   15     4.3294200 0.1828120E-01 -.9889470E-03 -.4474920E-04 0.1080810E+00 -.4165985E-03 0.3850566E-05 -.1204835E-02 0.1275471E+01 0.1710237E+01 0.1949009E+01 0.3798268E-01 -.1340014E+01 0.0000000E+00 0.2396513E+00 0.2418957E+00 0.5397914E-01 -.4625780E-01 0.4018201E+00 -.4058172E-01         10 0.4235796E-01 0.1891236E-01 0.3141214E-01 0.8412452E+00 0.1071749E+01 0.9937771E+00 -.9103653E-07 -.7535661E-10 0.0000000E+00 0.3000000E+02 0.5796202E-01 0.3986772E+00 0.2161073E+00 0.0000000E+00 0.1984508E+01 0.3514140E+01 0.2720546E+00 0.1738594E+01 0.1084836E+01 -.1603827E+02 -.1145904E+02 0.1365098E+02 0.1875145E+01 0.1575221E-01 -.2309573E-01 0.3401627E-02
   16     4.3416306 0.1828123E-01 -.9940338E-03 -.4470211E-04 0.1085842E+00 -.4165831E-03 0.3876102E-05 -.1204689E-02 0.1275890E+01 0.1700693E+01 0.1957272E+01 0.4964520E-01 -.1325950E+01 0.0000000E+00 0.2396512E+00 0.2418955E+00 0.5397888E-01 -.4625742E-01 0.4018200E+00 -.4057996E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8412453E+00 0.1071748E+01 0.9939902E+00 -.9100559E-07 -.7545253E-10 0.0000000E+00 0.3000000E+02 0.5796193E-01 0.3983206E+00 0.1000000E-04 0.0000000E+00 0.1988959E+01 0.3490375E+01 0.2720533E+00 0.1745966E+01 0.1097132E+01 -.1587269E+02 -.1143792E+02 0.1365007E+02 0.1877342E+01 0.1575211E-01 -.2277664E-01 0.3402155E-02
   16     4.3538412 0.1828132E-01 -.9991204E-03 -.4465374E-04 0.1090873E+00 -.4165720E-03 0.4113232E-05 -.1204639E-02 0.1276420E+01 0.1691196E+01 0.1965592E+01 0.6117442E-01 -.1312114E+01 0.0000000E+00 0.2396509E+00 0.2418951E+00 0.5397867E-01 -.4625670E-01 0.4018200E+00 -.4057958E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8412455E+00 0.1071747E+01 0.9942025E+00 -.9097547E-07 -.7554490E-10 0.0000000E+00 0.3000000E+02 0.5796175E-01 0.3979338E+00 0.1000000E-04 0.0000000E+00 0.1995969E+01 0.3466607E+01 0.2720522E+00 0.1753392E+01 0.1109430E+01 -.1570519E+02 -.1142167E+02 0.1365015E+02 0.1884117E+01 0.1575201E-01 -.2245654E-01 0.3401742E-02
   16     4.3660518 0.1828158E-01 -.1004208E-02 -.4459876E-04 0.1095904E+00 -.4167082E-03 0.5089867E-05 -.1205115E-02 0.1277059E+01 0.1681745E+01 0.1973970E+01 0.7237638E-01 -.1298841E+01 0.0000000E+00 0.2396513E+00 0.2418958E+00 0.5397861E-01 -.4625786E-01 0.4018205E+00 -.4058313E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8412447E+00 0.1071750E+01 0.9944118E+00 -.9094534E-07 -.7541345E-10 0.0000000E+00 0.3000000E+02 0.5796202E-01 0.3975239E+00 0.1000000E-04 0.0000000E+00 0.2002974E+01 0.3442832E+01 0.2720519E+00 0.1760878E+01 0.1121964E+01 -.1552795E+02 -.1141992E+02 0.1365655E+02 0.1896388E+01 0.1575207E-01 -.2213534E-01 0.3392005E-02
   16     4.3782624 0.1828218E-01 -.1009300E-02 -.4452142E-04 0.1100941E+00 -.4175107E-03 0.8072562E-05 -.1207757E-02 0.1277802E+01 0.1672333E+01 0.1982409E+01 0.8295191E-01 -.1286671E+01 0.0000000E+00 0.2396561E+00 0.2419029E+00 0.5397886E-01 -.4627054E-01 0.4018230E+00 -.4059484E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8412383E+00 0.1071771E+01 0.9946116E+00 -.9091521E-07 -.7408119E-10 0.0000000E+00 0.3000000E+02 0.5796490E-01 0.3971098E+00 0.1000000E-04 0.0000000E+00 0.2009968E+01 0.3419037E+01 0.2720531E+00 0.1768434E+01 0.1135847E+01 -.1531459E+02 -.1145148E+02 0.1368729E+02 0.1903242E+01 0.1575292E-01 -.2181274E-01 0.3345913E-02
   16     4.3904729 0.1828308E-01 -.1014412E-02 -.4438532E-04 0.1105999E+00 -.4204348E-03 0.1505708E-04 -.1216519E-02 0.1278643E+01 0.1662953E+01 0.1990931E+01 0.9302952E-01 -.1275510E+01 0.0000000E+00 0.2396759E+00 0.2419330E+00 0.5397941E-01 -.4632567E-01 0.4018308E+00 -.4061566E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8412092E+00 0.1071852E+01 0.9947898E+00 -.9088590E-07 -.6843948E-10 0.0000000E+00 0.3000000E+02 0.5797694E-01 0.3967426E+00 0.1000000E-04 0.0000000E+00 0.2016941E+01 0.3395203E+01 0.2720560E+00 0.1776079E+01 0.1154661E+01 -.1499785E+02 -.1153234E+02 0.1378846E+02 0.1840789E+01 0.1575631E-01 -.2148780E-01 0.3195660E-02
   16     4.4026835 0.1828289E-01 -.1019588E-02 -.4413461E-04 0.1111114E+00 -.4285908E-03 0.2624361E-04 -.1237406E-02 0.1279585E+01 0.1653608E+01 0.1999599E+01 0.1054118E+00 -.1261096E+01 0.0000000E+00 0.2397359E+00 0.2420252E+00 0.5397893E-01 -.4649944E-01 0.4018496E+00 -.4061621E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8411122E+00 0.1072089E+01 0.9949370E+00 -.9086148E-07 -.5101697E-10 0.0000000E+00 0.3000000E+02 0.5801361E-01 0.3965383E+00 0.1000000E-04 0.0000000E+00 0.2023906E+01 0.3371340E+01 0.2720535E+00 0.1783802E+01 0.1187218E+01 -.1445911E+02 -.1159208E+02 0.1404653E+02 0.1479385E+01 0.1576592E-01 -.2115839E-01 0.2818226E-02
   16     4.4148941 0.1827524E-01 -.1024914E-02 -.4377599E-04 0.1116344E+00 -.4449251E-03 0.2821917E-04 -.1271075E-02 0.1280696E+01 0.1644378E+01 0.2008565E+01 0.1312380E+00 -.1225982E+01 0.0000000E+00 0.2398667E+00 0.2422296E+00 0.5397095E-01 -.4689484E-01 0.4018829E+00 -.4044910E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8408777E+00 0.1072592E+01 0.9950744E+00 -.9084763E-07 -.9997336E-11 0.0000000E+00 0.3000000E+02 0.5809435E-01 0.3966450E+00 0.1000000E-04 0.0000000E+00 0.2030975E+01 0.3347610E+01 0.2720133E+00 0.1791437E+01 0.1247987E+01 -.1364620E+02 -.1120580E+02 0.1452454E+02 0.2863266E+00 0.1578493E-01 -.2082139E-01 0.2178460E-02
   16     4.4271047 0.1824401E-01 -.1030460E-02 -.4365112E-04 0.1121697E+00 -.4619902E-03 -.1934237E-04 -.1279999E-02 0.1282193E+01 0.1635531E+01 0.2018066E+01 0.1888658E+00 -.1141303E+01 0.0000000E+00 0.2400310E+00 0.2424920E+00 0.5393840E-01 -.4741524E-01 0.4019067E+00 -.3968747E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8405509E+00 0.1073190E+01 0.9953388E+00 -.9085415E-07 0.5290346E-10 0.0000000E+00 0.3000000E+02 0.5819709E-01 0.3969171E+00 0.1000000E-04 0.0000000E+00 0.2038509E+01 0.3324563E+01 0.2718492E+00 0.1798412E+01 0.1336805E+01 -.1307593E+02 -.9265358E+01 0.1500600E+02 -.2182821E+01 0.1580206E-01 -.2047719E-01 0.1812717E-02
   16     4.4393153 0.1817363E-01 -.1036111E-02 -.4449649E-04 0.1126874E+00 -.4596426E-03 -.1222831E-03 -.1141841E-02 0.1284354E+01 0.1627414E+01 0.2028124E+01 0.2640346E+00 -.1030227E+01 0.0000000E+00 0.2400782E+00 0.2425679E+00 0.5386438E-01 -.4757224E-01 0.4018725E+00 -.3772781E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8404623E+00 0.1073277E+01 0.9961543E+00 -.9088102E-07 0.7993961E-10 0.0000000E+00 0.3000000E+02 0.5822670E-01 0.3966764E+00 0.1000000E-04 0.0000000E+00 0.2046947E+01 0.3302894E+01 0.2714762E+00 0.1803980E+01 0.1387499E+01 -.1430658E+02 -.4572258E+01 0.1493270E+02 -.5198324E+01 0.1578658E-01 -.2013626E-01 0.2464122E-02
   16     4.4515259 0.1808071E-01 -.1041624E-02 -.4651028E-04 0.1131081E+00 -.4428294E-03 -.1976096E-03 -.7758631E-03 0.1287115E+01 0.1619949E+01 0.2038063E+01 0.3113158E+00 -.9650841E+00 0.0000000E+00 0.2400177E+00 0.2424560E+00 0.5376666E-01 -.4731445E-01 0.4018550E+00 -.3470252E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8407291E+00 0.1072919E+01 0.9979505E+00 -.9089649E-07 -.1843148E-10 0.0000000E+00 0.3000000E+02 0.5818516E-01 0.3959213E+00 0.1000000E-04 0.0000000E+00 0.2056172E+01 0.3282427E+01 0.2709837E+00 0.1808303E+01 0.1290461E+01 -.1916707E+02 0.3290023E+01 0.1394966E+02 -.8590233E+01 0.1574411E-01 -.1980808E-01 0.3364114E-02
   16     4.4637365 0.1800498E-01 -.1046948E-02 -.4907241E-04 0.1133529E+00 -.4305658E-03 -.2143410E-03 -.2785274E-03 0.1290165E+01 0.1612745E+01 0.2046628E+01 0.3292203E+00 -.9469424E+00 0.0000000E+00 0.2399900E+00 0.2423784E+00 0.5368730E-01 -.4706726E-01 0.4019378E+00 -.3183301E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8411075E+00 0.1072678E+01 0.1000442E+01 -.9084356E-07 -.2585274E-09 0.0000000E+00 0.3000000E+02 0.5815980E-01 0.3952770E+00 0.1000000E-04 0.0000000E+00 0.2065684E+01 0.3262359E+01 0.2705837E+00 0.1812197E+01 0.1017532E+01 -.2904386E+02 0.1487345E+02 0.1115904E+02 -.1355044E+02 0.1571117E-01 -.1948751E-01 0.3668484E-02
   16     4.4759471 0.1797457E-01 -.1052171E-02 -.5163352E-04 0.1133958E+00 -.4260685E-03 -.2031373E-03 0.2007514E-03 0.1293319E+01 0.1605577E+01 0.2052733E+01 0.3378493E+00 -.9424329E+00 0.0000000E+00 0.2400290E+00 0.2423996E+00 0.5365539E-01 -.4699316E-01 0.4020898E+00 -.3044217E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8414396E+00 0.1072684E+01 0.1002703E+01 -.9067583E-07 -.5790710E-09 0.0000000E+00 0.3000000E+02 0.5817433E-01 0.3949319E+00 0.1000000E-04 0.0000000E+00 0.2075191E+01 0.3242241E+01 0.2704229E+00 0.1816107E+01 0.6375004E+00 -.4333530E+02 0.2912834E+02 0.4347386E+01 -.1934916E+02 0.1570420E-01 -.1916515E-01 0.3453793E-02
   16     4.4881576 0.1799669E-01 -.1057373E-02 -.5402988E-04 0.1132691E+00 -.4267827E-03 -.1906331E-03 0.5414999E-03 0.1296553E+01 0.1598425E+01 0.2055974E+01 0.3490801E+00 -.9323716E+00 0.0000000E+00 0.2401113E+00 0.2424952E+00 0.5367970E-01 -.4708230E-01 0.4022524E+00 -.3107531E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8416499E+00 0.1072864E+01 0.1003854E+01 -.9037946E-07 -.8938095E-09 0.0000000E+00 0.3000000E+02 0.5821717E-01 0.3948231E+00 0.1000000E-04 0.0000000E+00 0.2084655E+01 0.3222039E+01 0.2705454E+00 0.1820063E+01 0.2567696E+00 -.5536681E+02 0.3879151E+02 -.6669285E+01 -.2168036E+02 0.1572353E-01 -.1883605E-01 0.3003584E-02
   16     4.5003682 0.1806051E-01 -.1062611E-02 -.5635547E-04 0.1130469E+00 -.4315475E-03 -.1950563E-03 0.6724956E-03 0.1299928E+01 0.1591378E+01 0.2056734E+01 0.3716103E+00 -.9041534E+00 0.0000000E+00 0.2402173E+00 0.2426459E+00 0.5375206E-01 -.4732844E-01 0.4023787E+00 -.3328936E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8416659E+00 0.1073169E+01 0.1003706E+01 -.8997397E-07 -.1124580E-08 0.0000000E+00 0.3000000E+02 0.5827893E-01 0.3949028E+00 0.1000000E-04 0.0000000E+00 0.2094179E+01 0.3201944E+01 0.2709101E+00 0.1823876E+01 -.2439126E-01 -.5827145E+02 0.3711844E+02 -.1678687E+02 -.1798153E+02 0.1576363E-01 -.1849934E-01 0.2549781E-02
   16     4.5125788 0.1813933E-01 -.1067910E-02 -.5898297E-04 0.1128161E+00 -.4351723E-03 -.2463701E-03 0.6014926E-03 0.1303614E+01 0.1584649E+01 0.2056012E+01 0.4195963E+00 -.8381886E+00 0.0000000E+00 0.2403116E+00 0.2427978E+00 0.5384568E-01 -.4763070E-01 0.4024265E+00 -.3594750E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8415290E+00 0.1073451E+01 0.1002870E+01 -.8950498E-07 -.1225246E-08 0.0000000E+00 0.3000000E+02 0.5833809E-01 0.3950329E+00 0.1000000E-04 0.0000000E+00 0.2104035E+01 0.3182390E+01 0.2713820E+00 0.1827105E+01 -.1455878E+00 -.5537109E+02 0.2849008E+02 -.2254817E+02 -.1185599E+02 0.1580942E-01 -.1815822E-01 0.2521889E-02
   16     4.5247894 0.1819754E-01 -.1073166E-02 -.6268695E-04 0.1126364E+00 -.4213236E-03 -.3712370E-03 0.4453078E-03 0.1307888E+01 0.1578583E+01 0.2054958E+01 0.4980055E+00 -.7285923E+00 0.0000000E+00 0.2402963E+00 0.2427675E+00 0.5391793E-01 -.4755936E-01 0.4023620E+00 -.3783713E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8416308E+00 0.1073258E+01 0.1002172E+01 -.8902215E-07 -.1215295E-08 0.0000000E+00 0.3000000E+02 0.5832702E-01 0.3947288E+00 0.1000000E-04 0.0000000E+00 0.2114671E+01 0.3164066E+01 0.2717461E+00 0.1829018E+01 -.1290939E+00 -.5214455E+02 0.2033877E+02 -.2469015E+02 -.7528104E+01 0.1582933E-01 -.1782390E-01 0.3568896E-02
   16     4.5370000 0.1821543E-01 -.1078089E-02 -.6818098E-04 0.1125073E+00 -.3811395E-03 -.5284664E-03 0.3673660E-03 0.1312908E+01 0.1573375E+01 0.2054194E+01 0.5765577E+00 -.6202933E+00 0.0000000E+00 0.2401155E+00 0.2424290E+00 0.5394098E-01 -.4676087E-01 0.4022478E+00 -.3844288E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8423691E+00 0.1072337E+01 0.1001908E+01 -.8855153E-07 -.1187676E-08 0.0000000E+00 0.3000000E+02 0.5820211E-01 0.3936583E+00 0.1000000E-04 0.0000000E+00 0.2126320E+01 0.3147345E+01 0.2718623E+00 0.1829212E+01 -.8911945E-01 -.5098540E+02 0.1724729E+02 -.2537299E+02 -.6126252E+01 0.1580349E-01 -.1751263E-01 0.5488581E-02
   16     4.5492106 0.1820657E-01 -.1082396E-02 -.7549695E-04 0.1123773E+00 -.3224235E-03 -.6625148E-03 0.4555979E-03 0.1318526E+01 0.1568853E+01 0.2053421E+01 0.6284461E+00 -.5513805E+00 0.0000000E+00 0.2398277E+00 0.2418681E+00 0.5392968E-01 -.4535339E-01 0.4022215E+00 -.3817750E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8437310E+00 0.1070945E+01 0.1002009E+01 -.8807846E-07 -.1239613E-08 0.0000000E+00 0.3000000E+02 0.5799805E-01 0.3920553E+00 0.1000000E-04 0.0000000E+00 0.2138727E+01 0.3131863E+01 0.2718053E+00 0.1828091E+01 -.1473402E+00 -.5250193E+02 0.1962042E+02 -.2764904E+02 -.6333627E+01 0.1574582E-01 -.1723355E-01 0.7567026E-02
   16     4.5614212 0.1820467E-01 -.1085970E-02 -.8408625E-04 0.1121838E+00 -.2658209E-03 -.7310429E-03 0.6750708E-03 0.1324429E+01 0.1564651E+01 0.2051691E+01 0.6435487E+00 -.5350494E+00 0.0000000E+00 0.2395573E+00 0.2413132E+00 0.5392735E-01 -.4386162E-01 0.4023498E+00 -.3800211E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8452700E+00 0.1069637E+01 0.1002349E+01 -.8756062E-07 -.1407106E-08 0.0000000E+00 0.3000000E+02 0.5779967E-01 0.3905398E+00 0.1000000E-04 0.0000000E+00 0.2151376E+01 0.3116876E+01 0.2717935E+00 0.1826459E+01 -.3509468E+00 -.5381968E+02 0.2299971E+02 -.3158153E+02 -.6959170E+01 0.1569219E-01 -.1698473E-01 0.9114542E-02
   16     4.5736318 0.1824069E-01 -.1088998E-02 -.9306785E-04 0.1119047E+00 -.2345643E-03 -.7326741E-03 0.8725048E-03 0.1330326E+01 0.1560422E+01 0.2048153E+01 0.6371265E+00 -.5492641E+00 0.0000000E+00 0.2394282E+00 0.2410173E+00 0.5397558E-01 -.4298946E-01 0.4025261E+00 -.3885148E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8462810E+00 0.1068964E+01 0.1002653E+01 -.8696379E-07 -.1630397E-08 0.0000000E+00 0.3000000E+02 0.5769750E-01 0.3898055E+00 0.1000000E-04 0.0000000E+00 0.2163808E+01 0.3101700E+01 0.2720366E+00 0.1825064E+01 -.6257673E+00 -.5047090E+02 0.2121253E+02 -.3396043E+02 -.6288021E+01 0.1567966E-01 -.1675186E-01 0.9691108E-02
   16     4.5858424 0.1832005E-01 -.1091783E-02 -.1018936E-03 0.1115809E+00 -.2240546E-03 -.7119451E-03 0.9050426E-03 0.1336129E+01 0.1556060E+01 0.2042768E+01 0.6308914E+00 -.5627452E+00 0.0000000E+00 0.2394039E+00 0.2409348E+00 0.5408461E-01 -.4269935E-01 0.4026407E+00 -.4078028E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8467064E+00 0.1068781E+01 0.1002874E+01 -.8628880E-07 -.1807422E-08 0.0000000E+00 0.3000000E+02 0.5767184E-01 0.3897340E+00 0.1000000E-04 0.0000000E+00 0.2175905E+01 0.3086141E+01 0.2725861E+00 0.1824114E+01 -.8417946E+00 -.4442695E+02 0.1434332E+02 -.3424406E+02 -.3659121E+01 0.1570581E-01 -.1652066E-01 0.9668247E-02
   16     4.5980529 0.1842653E-01 -.1094511E-02 -.1104650E-03 0.1112901E+00 -.2240933E-03 -.6932683E-03 0.7198866E-03 0.1341877E+01 0.1551615E+01 0.2036343E+01 0.6310784E+00 -.5667408E+00 0.0000000E+00 0.2394157E+00 0.2409471E+00 0.5423604E-01 -.4271604E-01 0.4026676E+00 -.4311030E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8467373E+00 0.1068817E+01 0.1003416E+01 -.8557229E-07 -.1865409E-08 0.0000000E+00 0.3000000E+02 0.5767763E-01 0.3900028E+00 0.1000000E-04 0.0000000E+00 0.2187746E+01 0.3070312E+01 0.2733493E+00 0.1823511E+01 -.9064128E+00 -.3960723E+02 0.5010789E+01 -.3429522E+02 0.1726383E+00 0.1575223E-01 -.1628525E-01 0.9456084E-02
   16     4.6102635 0.1853410E-01 -.1097274E-02 -.1188754E-03 0.1111118E+00 -.2285636E-03 -.6875494E-03 0.3375350E-03 0.1347641E+01 0.1547171E+01 0.2030131E+01 0.6401924E+00 -.5586846E+00 0.0000000E+00 0.2394246E+00 0.2409818E+00 0.5439465E-01 -.4285230E-01 0.4026118E+00 -.4512357E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8465307E+00 0.1068914E+01 0.1004654E+01 -.8486799E-07 -.1777895E-08 0.0000000E+00 0.3000000E+02 0.5768810E-01 0.3904159E+00 0.1000000E-04 0.0000000E+00 0.2199452E+01 0.3054382E+01 0.2741488E+00 0.1823103E+01 -.7873722E+00 -.3688485E+02 -.6754320E+01 -.3478454E+02 0.4989610E+01 0.1580090E-01 -.1604512E-01 0.9300051E-02
   16     4.6224741 0.1861463E-01 -.1100073E-02 -.1273698E-03 0.1111015E+00 -.2275785E-03 -.7098274E-03 -.1457959E-03 0.1353517E+01 0.1542840E+01 0.2025380E+01 0.6618635E+00 -.5345547E+00 0.0000000E+00 0.2393866E+00 0.2409396E+00 0.5451721E-01 -.4281036E-01 0.4025154E+00 -.4644952E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8464130E+00 0.1068845E+01 0.1006404E+01 -.8422719E-07 -.1567617E-08 0.0000000E+00 0.3000000E+02 0.5766884E-01 0.3907102E+00 0.1000000E-04 0.0000000E+00 0.2211186E+01 0.3038572E+01 0.2747664E+00 0.1822675E+01 -.5144831E+00 -.3483490E+02 -.2139575E+02 -.3390857E+02 0.1033399E+02 0.1583037E-01 -.1580377E-01 0.9509957E-02
   16     4.6346847 0.1864819E-01 -.1102734E-02 -.1363643E-03 0.1112664E+00 -.2031236E-03 -.7674128E-03 -.5721074E-03 0.1359602E+01 0.1538733E+01 0.2022875E+01 0.6890209E+00 -.5033373E+00 0.0000000E+00 0.2392355E+00 0.2406516E+00 0.5456942E-01 -.4204546E-01 0.4024918E+00 -.4705657E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8470258E+00 0.1068250E+01 0.1007816E+01 -.8368085E-07 -.1312372E-08 0.0000000E+00 0.3000000E+02 0.5756331E-01 0.3904427E+00 0.1000000E-04 0.0000000E+00 0.2223093E+01 0.3023084E+01 0.2750296E+00 0.1822017E+01 -.1848362E+00 -.3143711E+02 -.3425772E+02 -.2857272E+02 0.1411695E+02 0.1581628E-01 -.1557058E-01 0.1043175E-01
   16     4.6468953 0.1864002E-01 -.1104923E-02 -.1460834E-03 0.1115577E+00 -.1539273E-03 -.8174194E-03 -.8109262E-03 0.1365821E+01 0.1534773E+01 0.2022529E+01 0.6935050E+00 -.5007074E+00 0.0000000E+00 0.2389900E+00 0.2401267E+00 0.5455630E-01 -.4050173E-01 0.4026561E+00 -.4710414E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8485167E+00 0.1067192E+01 0.1008216E+01 -.8322163E-07 -.1119773E-08 0.0000000E+00 0.3000000E+02 0.5737811E-01 0.3896371E+00 0.1000000E-04 0.0000000E+00 0.2235031E+01 0.3007750E+01 0.2749635E+00 0.1821317E+01 0.6740870E-01 -.2801027E+02 -.3868833E+02 -.2120766E+02 0.1564452E+02 0.1576213E-01 -.1535624E-01 0.1175095E-01
   16     4.6591059 0.1861949E-01 -.1106550E-02 -.1560868E-03 0.1119051E+00 -.1171827E-03 -.8133191E-03 -.8812134E-03 0.1371923E+01 0.1530673E+01 0.2023505E+01 0.6731431E+00 -.5303923E+00 0.0000000E+00 0.2388191E+00 0.2397422E+00 0.5452325E-01 -.3931670E-01 0.4028618E+00 -.4690815E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8497077E+00 0.1066468E+01 0.1007999E+01 -.8281371E-07 -.1034127E-08 0.0000000E+00 0.3000000E+02 0.5724459E-01 0.3892881E+00 0.1000000E-04 0.0000000E+00 0.2246584E+01 0.2992001E+01 0.2747969E+00 0.1821220E+01 0.1850819E+00 -.2685309E+02 -.3779649E+02 -.1689201E+02 0.1632035E+02 0.1571638E-01 -.1515787E-01 0.1251443E-01
