 mc2(MeV) freq(MHz) Z I(mA) npart
    938.272029 0.1761000E+03   1. 0.00000E+00         10
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX  SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99  ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax  ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
    6     1.3504729 0.1769428E-01 -.4359868E-05 0.6292422E-06 0.7274860E-02 0.3528585E-07 0.2022094E-05 -.5172724E-05 0.1546565E+01 0.1987357E+01 0.2170019E+01 -.1815617E+00 -.2254142E+01 0.0000000E+00 0.2407042E+00 0.2404405E+00 0.5359783E-01 -.3756802E-01 0.3763254E+00 -.3488167E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8737945E+00 0.1054848E+01 0.9609625E+00 -.7565079E-07 0.1681538E-08 0.0000000E+00 0.3000000E+02 0.5787479E-01 0.4437009E+00 0.1000000E-04 0.0000000E+00 0.2923022E+01 0.3701739E+01 0.2701328E+00 0.1905238E+01 0.7333731E+00 0.3201747E+01 -.3659193E+00 0.2337986E+01 -.6121148E+00 0.1563378E-01 -.8229691E-03 -.9307067E-03
    6     1.3626835 0.1769474E-01 -.4349172E-05 0.6559326E-06 0.7308701E-02 0.1031568E-05 0.2188025E-05 -.7831538E-05 0.1545154E+01 0.1973513E+01 0.2175286E+01 -.1743990E+00 -.2234511E+01 0.0000000E+00 0.2407061E+00 0.2404352E+00 0.5359869E-01 -.3757864E-01 0.3754986E+00 -.3488164E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8739899E+00 0.1054355E+01 0.9608735E+00 -.7633922E-07 0.1696286E-08 0.0000000E+00 0.3000000E+02 0.5787404E-01 0.4424218E+00 0.1000000E-04 0.0000000E+00 0.2917866E+01 0.3671479E+01 0.2701371E+00 0.1909887E+01 0.7661906E+00 0.3173539E+01 -.3905042E+00 0.1695520E+01 -.2373698E+00 0.1563385E-01 -.8396857E-03 -.8874507E-03
    6     1.3748941 0.1768846E-01 -.4377628E-05 0.6735364E-06 0.7341689E-02 -.9116492E-05 0.1874976E-07 0.4468659E-05 0.1543853E+01 0.1959765E+01 0.2180889E+01 -.1495422E+00 -.2185387E+01 0.0000000E+00 0.2407127E+00 0.2404230E+00 0.5358907E-01 -.3760133E-01 0.3736136E+00 -.3481564E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8744802E+00 0.1053249E+01 0.9610351E+00 -.7703802E-07 0.1733142E-08 0.0000000E+00 0.3000000E+02 0.5787282E-01 0.4409864E+00 0.1000000E-04 0.0000000E+00 0.2912766E+01 0.3641363E+01 0.2700886E+00 0.1914475E+01 0.8358038E+00 0.3466535E+01 -.3602982E+00 0.2763828E+00 0.5652474E+00 0.1563071E-01 -.8466148E-03 -.7970694E-03
    6     1.3871047 0.1765896E-01 -.4701954E-05 0.6323817E-06 0.7360403E-02 -.5006476E-04 -.7787895E-05 0.7380389E-04 0.1542917E+01 0.1946441E+01 0.2187129E+01 -.7813167E-01 -.2063272E+01 0.0000000E+00 0.2407264E+00 0.2404092E+00 0.5354278E-01 -.3763649E-01 0.3710914E+00 -.3451841E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8752152E+00 0.1051814E+01 0.9622200E+00 -.7775840E-07 0.1794554E-08 0.0000000E+00 0.3000000E+02 0.5787282E-01 0.4394429E+00 0.1000000E-04 0.0000000E+00 0.2908183E+01 0.3612014E+01 0.2698553E+00 0.1918392E+01 0.9469462E+00 0.4902435E+01 -.1348073E+00 -.1415543E+01 0.1498501E+01 0.1561707E-01 -.8356447E-03 -.6302725E-03
    6     1.3993153 0.1758865E-01 -.5698755E-05 0.4693367E-06 0.7326857E-02 -.1128218E-03 -.1868797E-04 0.2672377E-03 0.1542704E+01 0.1933978E+01 0.2194100E+01 0.2305587E-01 -.1901005E+01 0.0000000E+00 0.2407375E+00 0.2404056E+00 0.5343050E-01 -.3768228E-01 0.3701682E+00 -.3379496E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8755606E+00 0.1051362E+01 0.9660295E+00 -.7850505E-07 0.1833524E-08 0.0000000E+00 0.3000000E+02 0.5787461E-01 0.4380566E+00 0.1000000E-04 0.0000000E+00 0.2904793E+01 0.3584227E+01 0.2692894E+00 0.1920771E+01 0.1023426E+01 0.8467538E+01 0.4494978E+00 -.1470810E+01 0.1757544E+01 0.1558453E-01 -.8091445E-03 -.4642895E-03
    6     1.4115259 0.1749201E-01 -.7347790E-05 0.1973957E-06 0.7187459E-02 -.1512311E-03 -.2481527E-04 0.5630574E-03 0.1543169E+01 0.1922285E+01 0.2201080E+01 0.8543818E-01 -.1806312E+01 0.0000000E+00 0.2407385E+00 0.2404090E+00 0.5327428E-01 -.3770339E-01 0.3709827E+00 -.3277059E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8753544E+00 0.1051917E+01 0.9723118E+00 -.7925372E-07 0.1766427E-08 0.0000000E+00 0.3000000E+02 0.5787569E-01 0.4368515E+00 0.1000000E-04 0.0000000E+00 0.2902546E+01 0.3557796E+01 0.2685021E+00 0.1921717E+01 0.9271120E+00 0.1469849E+02 0.1458761E+01 0.1762680E+00 0.1604163E+01 0.1553879E-01 -.7823048E-03 -.4155305E-03
    6     1.4237365 0.1740944E-01 -.9261560E-05 -.1162424E-06 0.6923241E-02 -.1586583E-03 -.2604693E-04 0.8272038E-03 0.1543934E+01 0.1910880E+01 0.2206618E+01 0.1030620E+00 -.1781371E+01 0.0000000E+00 0.2407376E+00 0.2404057E+00 0.5314035E-01 -.3766164E-01 0.3715453E+00 -.3188118E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8751625E+00 0.1052299E+01 0.9794583E+00 -.7995233E-07 0.1568129E-08 0.0000000E+00 0.3000000E+02 0.5787468E-01 0.4355903E+00 0.1000000E-04 0.0000000E+00 0.2900745E+01 0.3531807E+01 0.2678271E+00 0.1922116E+01 0.6139142E+00 0.2349604E+02 0.2918455E+01 0.1962741E+01 0.1824944E+01 0.1549882E-01 -.7620660E-03 -.3112578E-03
    6     1.4359471 0.1737155E-01 -.1117810E-04 -.4331361E-06 0.6569466E-02 -.1547290E-03 -.2580997E-04 0.9618712E-03 0.1544761E+01 0.1899480E+01 0.2209400E+01 0.1055454E+00 -.1776184E+01 0.0000000E+00 0.2407403E+00 0.2403915E+00 0.5307913E-01 -.3756942E-01 0.3712486E+00 -.3148846E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8752227E+00 0.1052174E+01 0.9851128E+00 -.8055180E-07 0.1286523E-08 0.0000000E+00 0.3000000E+02 0.5787189E-01 0.4341922E+00 0.1000000E-04 0.0000000E+00 0.2898933E+01 0.3505754E+01 0.2675186E+00 0.1922498E+01 0.1621085E+00 0.3040081E+02 0.4323989E+01 0.2790071E+01 0.2620154E+01 0.1547982E-01 -.7442441E-03 -.7689515E-04
    6     1.4481576 0.1738780E-01 -.1304962E-04 -.7479863E-06 0.6191227E-02 -.1529500E-03 -.2588916E-04 0.9386563E-03 0.1545612E+01 0.1888064E+01 0.2208884E+01 0.1113538E+00 -.1761991E+01 0.0000000E+00 0.2407473E+00 0.2403710E+00 0.5310572E-01 -.3745773E-01 0.3703204E+00 -.3171771E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8755105E+00 0.1051680E+01 0.9839370E+00 -.8102974E-07 0.9987389E-09 0.0000000E+00 0.3000000E+02 0.5786859E-01 0.4326850E+00 0.1000000E-04 0.0000000E+00 0.2897030E+01 0.3479615E+01 0.2676526E+00 0.1922925E+01 -.2987976E+00 0.2757124E+02 0.4482999E+01 0.2098247E+01 0.3421346E+01 0.1548682E-01 -.7230467E-03 0.2186296E-03
    6     1.4603682 0.1744857E-01 -.1496234E-04 -.1070249E-05 0.5854932E-02 -.1635463E-03 -.2718624E-04 0.7807942E-03 0.1546563E+01 0.1876748E+01 0.2205467E+01 0.1336383E+00 -.1720416E+01 0.0000000E+00 0.2407587E+00 0.2403493E+00 0.5320424E-01 -.3735353E-01 0.3689597E+00 -.3246028E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8759994E+00 0.1050936E+01 0.9788632E+00 -.8139777E-07 0.7797496E-09 0.0000000E+00 0.3000000E+02 0.5786600E-01 0.4310957E+00 0.1000000E-04 0.0000000E+00 0.2895171E+01 0.3453620E+01 0.2681491E+00 0.1923216E+01 -.6440647E+00 0.1886142E+02 0.3687688E+01 0.8037843E+00 0.3909956E+01 0.1551533E-01 -.6937579E-03 0.5133219E-03
    6     1.4725788 0.1752703E-01 -.1716033E-04 -.1421749E-05 0.5603772E-02 -.2025592E-03 -.3085917E-04 0.5621897E-03 0.1547822E+01 0.1865800E+01 0.2200284E+01 0.1936132E+00 -.1623675E+01 0.0000000E+00 0.2407739E+00 0.2403338E+00 0.5333177E-01 -.3729371E-01 0.3676504E+00 -.3340040E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8765512E+00 0.1050242E+01 0.9751735E+00 -.8169598E-07 0.6780816E-09 0.0000000E+00 0.3000000E+02 0.5786577E-01 0.4294890E+00 0.1000000E-04 0.0000000E+00 0.2893745E+01 0.3428272E+01 0.2687918E+00 0.1922894E+01 -.7970957E+00 0.1152643E+02 0.2973204E+01 -.2729993E+00 0.4345915E+01 0.1555287E-01 -.6532084E-03 0.7927011E-03
