ELE# 1 : 0.2 m
-9.458230e-01 +2.304739e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.239456e-01 +1.881636e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.686621e-01 +6.971211e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +2.179353e-01 +1.654972e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -6.001120e-01 -4.386110e-02 
ELE# 11 : 3.24 m
-1.653254e+00 +4.900713e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+1.964874e+00 -6.419394e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -2.652107e-01 +2.349798e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -8.828356e-01 +4.113240e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.021838e-01 +1.646512e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -6.001120e-01 -4.386110e-02 
ELE# 12 : 3.39 m
-1.358523e+00 +3.937803e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+1.964874e+00 -6.419394e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -3.976360e-01 +2.966784e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -8.828356e-01 +4.113240e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.537012e-02 +1.640167e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -6.001120e-01 -4.386110e-02 
ELE# 13 : 3.59 m
-1.175861e+00 +3.255364e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-8.784904e-02 -5.932923e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.001937e-01 +3.264241e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.141295e-01 -1.221654e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.003814e-01 +1.631707e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -6.001120e-01 -4.386110e-02 
ELE# 14 : 3.74 m
-1.189038e+00 +3.166370e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-8.784904e-02 -5.932923e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.173132e-01 +3.080993e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.141295e-01 -1.221654e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.871951e-01 +1.625362e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -6.001120e-01 -4.386110e-02 
ELE# 15 : 4.3294 m
-1.240818e+00 +2.816671e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-8.784904e-02 -5.932923e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.845834e-01 +2.360926e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.141295e-01 -1.221654e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -5.283265e-01 +1.600429e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -6.001120e-01 -4.386110e-02 
ELE# 16 : 4.7446 m
-1.340969e+00 +2.710214e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-2.879438e-01 -1.452219e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -6.623982e-01 +1.966675e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -2.089638e-01 -8.516993e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -7.069181e-01 +1.420953e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -3.969137e-01 -5.815837e-01 
ELE# 17 : 5.0094 m
-1.417229e+00 +2.671754e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-2.879438e-01 -1.452219e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -7.177401e-01 +1.741111e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -2.089638e-01 -8.516993e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -8.082332e-01 +1.272500e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -3.969137e-01 -5.815837e-01 
ELE# 18 : 5.4246 m
-1.610791e+00 +2.746927e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-5.220079e-01 +2.901833e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -8.423545e-01 +1.471310e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -3.280399e-01 -5.743958e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -8.794651e-01 +9.182323e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 19 : 5.93 m
-1.874625e+00 +2.893592e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-5.220079e-01 +2.901833e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.008152e+00 +1.180998e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -3.280399e-01 -5.743958e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -9.295938e-01 +4.355812e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 20 : 6.08 m
-1.952926e+00 +2.937119e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-5.220079e-01 +2.901833e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.057358e+00 +1.094839e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -3.280399e-01 -5.743958e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -9.444711e-01 +2.923386e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 21 : 6.28 m
-1.736920e+00 +2.518653e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+2.622086e+00 -4.358646e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.306732e+00 +1.159974e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -2.234181e+00 +1.243636e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -9.643076e-01 +1.013485e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 22 : 6.43 m
-1.343607e+00 +1.864856e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+2.622086e+00 -4.358646e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.641859e+00 +1.346520e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -2.234181e+00 +1.243636e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -9.791849e-01 -4.189410e-02 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 23 : 6.63 m
-1.019198e+00 +1.262625e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+7.113621e-01 -1.829553e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.798966e+00 +1.364049e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +7.068657e-01 -1.073223e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -9.990214e-01 -2.328842e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 24 : 6.78 m
-9.124940e-01 +9.881924e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+7.113621e-01 -1.829553e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.692937e+00 +1.203066e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +7.068657e-01 -1.073223e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.013899e+00 -3.761268e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 25 : 7.3694 m
-4.932030e-01 -9.018248e-02 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+7.113621e-01 -1.829553e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.276296e+00 +5.704864e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +7.068657e-01 -1.073223e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.072359e+00 -9.389937e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.029725e-01 -9.914441e-01 
ELE# 26 : 7.7846 m
-2.186528e-01 -8.646765e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.374445e-01 -1.858762e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.043049e+00 +1.475389e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.065030e-01 -9.897284e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.004566e+00 -1.227958e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +2.637833e-01 -6.308117e-01 
ELE# 27 : 8.0494 m
-4.983201e-02 -1.356951e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.374445e-01 -1.858762e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -9.089072e-01 -1.145808e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.065030e-01 -9.897284e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -9.373233e-01 -1.388762e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +2.637833e-01 -6.308117e-01 
ELE# 28 : 8.4646 m
+2.159148e-01 -2.207427e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.348522e-01 -2.097147e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -7.414791e-01 -5.368487e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +3.621224e-01 -1.017129e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -7.415398e-01 -1.493121e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 29 : 8.97 m
+5.367818e-01 -3.267368e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.348522e-01 -2.097147e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.584552e-01 -1.050926e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +3.621224e-01 -1.017129e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -4.633550e-01 -1.554852e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 30 : 9.12 m
+6.320097e-01 -3.581940e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.348522e-01 -2.097147e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.041368e-01 -1.203495e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +3.621224e-01 -1.017129e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -3.807946e-01 -1.573173e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 31 : 9.32 m
+6.503688e-01 -3.402095e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-4.563515e-01 +3.845720e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.133941e-01 -1.623017e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.572342e-01 -3.293150e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -2.707139e-01 -1.597601e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 32 : 9.47 m
+5.819161e-01 -2.825237e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-4.563515e-01 +3.845720e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.819792e-01 -2.116990e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.572342e-01 -3.293150e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -1.881535e-01 -1.615921e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 33 : 9.67 m
+5.847606e-01 -2.494694e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+4.855785e-01 -4.493888e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.745347e-01 -2.398164e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.296091e-01 +5.595913e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 -7.807284e-02 -1.640349e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 34 : 9.82 m
+6.575974e-01 -2.562103e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+4.855785e-01 -4.493888e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.950934e-01 -2.314226e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.296091e-01 +5.595913e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +4.487632e-03 -1.658670e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 35 : 10.409 m
+9.438070e-01 -2.826981e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+4.855785e-01 -4.493888e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.829312e-01 -1.984391e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.296091e-01 +5.595913e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +3.289063e-01 -1.730661e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.722385e-01 -1.269842e-01 
ELE# 36 : 10.825 m
+1.194977e+00 -3.156586e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.425662e-01 -9.113577e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +3.072208e-02 -1.847719e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.043047e-01 +2.425013e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +5.171381e-01 -1.608169e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +4.346066e-01 +4.647559e-01 
ELE# 37 : 11.089 m
+1.365154e+00 -3.397950e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.425662e-01 -9.113577e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.642821e-01 -1.783495e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.043047e-01 +2.425013e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +6.277631e-01 -1.489870e+00 
