Entry,Type,Description,Allowed values,Mandatory?
``linac``,str,Name of the linac,,✅
``e_rest_mev``,float,Rest energy of particle in :math:`\mathrm{MeV}`,,✅
``q_adim``,float,Adimensioned charge of particle,,✅
``e_mev``,float,Energy of particle at entrance in :math:`\mathrm{MeV}`,,✅
``f_bunch_mev``,float,Beam bunch frequency in :math:`\mathrm{MHz}`,,✅
``i_milli_a``,float,Beam current in :math:`\mathrm{mA}`,,❌
``sigma``,matrix,Input :math:`\sigma` beam matrix in :math:`\mathrm{m}`; :math:`\mathrm{rad}`,,✅
